,0|23.78%,1|21.38%,2|13.62%,3|10.99%,4|9.31%,5|8.74%,6|4.92%,7|4.32%,8|2.94%
PRINCE,-3.460439115575287,-8.037385420710212,3.0337121599798804,-4.108527052537641,0.5839404200403636,-1.132278301697083,-0.2622150882439621,-0.02579550138752332,0.1259892908956934
PARIS,4.687680354098633,-3.9829716935135417,-6.99073443374994,-0.40685727529968835,1.8021560381709973,0.9419305067835282,0.6864276735222916,0.3582681955638284,-0.5287748958958898
FRIAR LAWRENCE,-1.730501562080907,-0.5701243687127466,-1.9919259740477762,1.8471732578370554,-2.7091277847627206,0.2900226185776024,-2.4047296363170836,-3.199934032022075,1.5862383399173268
MERCUTIO,-7.239545945493434,5.5052557099178685,-2.2229484518819387,-2.470037256437996,2.125516929011422,1.9186844830972243,-0.6322044966823367,1.24403603153801,0.40006327737450365
JULIET,1.1556669820643757,0.5645507364789075,-0.17064855818546873,0.2786290359336108,-4.384769639755765,-1.2441574375562954,1.6579203546328476,2.813425441825968,1.9008879587632965
NURSE,5.1095428498420725,4.490317496450631,0.7757259161484763,-2.6213105950050064,0.22963118282205366,-4.096050458612252,-2.182405022522971,-0.07585736559772785,-0.9909582501137338
CAPULET,3.0234550181926063,2.952898375967083,2.549057382669,-1.6777419471012467,1.0082143676141575,1.7567135114513186,3.4074367853249528,-2.513475475299683,0.6198820211621162
ROMEO,-2.498119567263823,0.18606529905875124,0.46551362138718727,1.292843573952412,-3.522733334557946,1.3297319471929525,0.6981943600758366,-0.14404963750119085,-3.3724705689202414
LADY CAPULET,3.9607074348568565,-0.8131920791986682,3.890413165389895,2.588889856780614,1.5727211147512403,3.89489170336002,-2.1666647405437915,1.538060189522144,0.2730773029485591
BENVOLIO,-3.0084464486410916,-0.2954140557380757,0.6618351722906843,5.276938401877887,3.2944507066661948,-3.6594885725970157,1.1982398107542214,0.00532215335824716,-0.01393447613163493
