,0|28.83%,1|17.33%,2|13.19%,3|9.4%,4|8.3%,5|6.88%,6|4.43%,7|2.95%,8|2.61%,9|2.15%,10|1.57%,11|1.26%,12|0.47%,13|0.4%,14|0.22%
INTJ,-5.767477670819648,1.696315521394698,-2.169195744165224,-0.8360554380395037,0.6771361123332427,1.437418880336543,-0.38566307330244404,-0.11707501733295045,-0.5811738373507752,-0.5821182060927278,1.0062931569140328,0.792037997777796,-0.6301545596548458,-0.3162262332790154,1.0666288258709342
ENTJ,-4.684075801766752,4.853851820268198,0.760079977036505,-0.7706132939821856,2.6193811860167386,-0.11588303904873921,2.327664620604182,-1.7490383986067075,2.3976384985653474,-0.2820734751106679,-0.43715427713910887,-1.3472667001746808,-0.03325920529688023,-0.49896743344368977,-0.1884403155481441
ESTJ,0.4346563994455295,7.274002538688705,2.9536314469486924,3.39490570561712,-2.936560741229453,3.6014357656608955,-2.421317087348877,0.3835377562741067,0.05898324805574157,0.5543830349861509,-0.7672736131763858,0.09851214899881924,0.19410984817011562,0.12326106461587433,-0.052114480498587606
ISTJ,-2.3487436522553673,-0.563759056868904,-0.5289654015210755,-0.7189834479760606,-4.990303311464553,0.9585824709770646,4.731327093441958,0.626167890808018,-0.28591005796967983,-0.15439671771302693,-0.17497142376345423,0.9781955664582774,-0.08533875927630204,0.3151650104391665,-0.2149758004643128
ESFJ,7.928512508437641,4.154349166818913,-3.284198288707664,-5.907026125556326,-1.2381081697018557,-1.854379460020429,-0.7888194489783515,1.364308554750314,0.7238152158446297,0.9789316109808398,-0.12243142714320844,-0.09387107881344574,0.019455242132970816,-0.12659536756368206,0.0850565369196889
ISFJ,4.132644331003611,-0.8904038570273154,-2.5523967454915044,-0.49783052535517525,-1.7563698825737188,0.5950154383249024,-0.6730539017910854,-2.4567134532570027,-2.403885279619687,-2.333316293659046,-0.4617042491951583,-1.1717329626610296,-0.09808235617657864,-0.16963182759272202,-0.1522070732956945
INFJ,0.6621384338231372,-0.9479949289931722,-3.024868609263615,2.443296595672858,1.2705183933972628,0.4839569719389407,0.5834626848867295,1.9583463128363234,0.2950440894255157,-1.1208492183375989,0.9883276166436346,-0.42090786937931585,1.5962167280641562,-0.14421800330210321,0.12572430872711504
ENFJ,6.080243684211169,2.404516242785935,0.5746762334224286,3.6234814654927296,1.6846989519034896,-1.9229966916406889,1.463137867650109,-1.1814332891385162,-0.905410652224936,1.4231061172895392,2.0405195102294313,-0.13373744068942708,-0.3814382766220184,0.5653510273318445,-0.004459882175563069
ENFP,5.692130886376612,-1.6874941638160883,1.652128224537714,2.293173966236974,2.410824788183112,-0.9263902006513819,0.825495195888377,0.05537707631411517,-0.33355888898123204,0.024621124784782577,-1.6134243882786956,1.6910164204730413,-0.09450898636262382,-1.0754637167052776,0.025251569396058587
INFP,0.4793293552765359,-3.318608144793817,-3.5164336115181585,2.931689354718626,1.0330275017276846,0.28867557238998665,-0.39631868899861766,2.177161874739511,1.2231519673349118,-0.3340824566341406,-1.1809345928675734,-1.0072977690414489,-1.0909238639412542,0.5610967901078027,-0.01874975578320209
ISFP,2.450812439016291,-6.493899563152533,-0.7320148388259047,-0.6222902993506446,-1.220464665102361,2.5068965747741463,-1.2514794639892382,-2.5204539487288096,2.512509870677677,1.0471742446443921,0.4242868683677699,0.5493825646453718,0.28668246439055134,0.18845946150236384,0.08430332454578565
ESFP,1.4018198474880919,-3.194527738100288,6.343651642927038,-3.641407261561925,2.6257776857723534,3.4979826465789525,0.5865728722547902,1.412625541462452,-1.278487250136457,0.33246667633294263,0.38703522186346256,-0.879401948960015,-0.09042676703444004,0.06978204737713099,-0.028764761423670022
ISTP,-6.25902309539823,-2.9355321453093106,-0.00920038794191043,0.6731046002959983,-1.8606988104434492,-2.846917114529105,-0.53089976441598,-0.1800188903237447,-1.4985641525738171,2.625230966760855,-0.8681871981565519,-1.1329802937474494,0.3827013072691701,-0.31517817558040506,0.21069865507953772
ESTP,-1.0450927143770647,-1.5037545893322317,5.869769200169001,0.14841822699513285,-2.7302656271522943,-4.2817269878086615,-1.4993758254809078,0.5981482646807953,1.2862877284607435,-1.8989626147662746,0.9122142909667474,0.03500832200152882,-0.185562921708583,-0.05593843797294569,0.028505502644516786
ENTP,-3.277423915608281,1.2321528278301026,0.43716000869949984,-1.7660868510687704,3.171024594084122,-1.7355252366298946,-0.6431354432198462,-0.8398528583184481,-0.583658350654832,-0.585664585639882,-1.381759872614523,1.1115768534558528,0.5235646282486064,1.2753557979235106,0.01907597210634467
INTP,-5.880451034853308,-0.07921393039294004,-2.7738231063057612,-0.7477766721388307,1.2403819942496783,0.3138544093474995,-1.9275976372008345,0.46891258384054035,-0.6267821488530649,0.30554979217384876,1.2491643773495722,0.9314661896561947,-0.3130345222019572,-0.39625200385786646,-0.985532626100765
