,0|29.73%,1|22.37%,2|18.13%,3|8.73%,4|6.78%,5|5.41%,6|3.98%,7|2.19%,8|1.53%,9|0.68%,10|0.27%,11|0.1%,12|0.07%,13|0.03%
INTJ,0.7471883914298323,2.1628775849777964,-1.4874487863119523,0.26480781328481534,0.46279438810118606,-0.5548913020597178,-0.8409357512340816,-0.21194894745675846,0.018574173045779407,-0.11481960116706519,0.33653067312005236,0.12375744799120891,0.08183926272985084,0.023570597968946887
ENTJ,-1.0759642587519591,1.0206595444452164,-1.9766056499526887,0.7583379364668319,-1.2307443330730128,-1.3823202628232678,-0.5939231201205182,0.8346840455138397,-0.3969987894286238,0.1501341288628571,-0.1046158716998948,-0.11379366422889281,-0.14772356876130202,-0.09535114813315711
ESTJ,-2.1502250305598967,-2.7088775399924243,-3.211915542322142,0.3401347353334152,1.3014498800812653,1.3356750782174773,-0.5053709059226719,0.6676955610559011,0.023847794741646403,-0.3692275817385429,-0.11646310388868088,0.06199811843037787,0.026670411469936,0.021117509446097457
ISTJ,1.4633204379293314,1.3447270016865154,-1.593269071138298,-0.33458305447122,-2.71588786342406,1.6915630626029527,0.09610664770810967,-0.25719537915500107,-0.03646278570402066,-0.030401170412513962,0.051666163820332185,-0.06603606961212541,0.10912243890515046,0.02369849709377938
ESFJ,-5.612589636736002,2.774076968300741,1.321774515311848,0.2538353914481813,0.5673928655315206,0.896956118120924,0.9942048022658588,-0.08900392899079741,-0.41052679771246786,0.15695635738396668,0.07989780503618144,-0.06273837524338854,-0.04158172800957328,0.03937040614169182
ISFJ,-0.5615559856197523,1.2684542611775833,1.7043011398376946,0.7065264600864807,-0.1601661880677374,0.5289670888936889,-0.012512117179226467,-0.2838459895082888,1.066903078775115,-0.34093598111771994,-0.16898040937205033,0.10550609254926023,-0.030783711251837466,-0.15144713725178693
INFJ,0.6309361746805436,-0.3977566751622334,0.30891680527417836,-1.129913463795833,0.24182316221540728,0.4361832065450401,-1.0502879094148074,-0.9322743986176251,-0.5057527378820256,0.1339311253769081,0.13629377083917144,0.16268213749153912,-0.2062586565460102,-0.012277876996255656
ENFJ,-3.3133374031173823,-2.41350524513754,0.9141912584602003,-0.6936952961285904,-1.2379574212208615,-1.2023928493523244,-0.7108835550257498,-0.5065639671197427,0.4538562901808132,0.15246226196142942,-0.2307801167367113,0.025915011964146258,0.05952885370985359,0.10285423798828601
ENFP,-0.4287862576516031,-2.120804591357539,2.009495491143419,-0.7204199927495879,-0.35115369629150345,-0.7454179095301773,0.2548254589380871,0.34093116728186285,-0.13399683609205199,-0.6588428920439863,0.42612654869736216,-0.11993692555634895,0.028127719597133484,-0.026722707313590607
INFP,1.2025273916457866,-0.09246044768132936,2.090806597582939,-1.690151930358303,0.4769560041342579,0.30435056737798455,-0.2702337038689276,0.5230424985024033,-0.8223158884787776,0.19297295395744685,-0.26016578134010376,0.04759793428752924,0.1686718146838412,-0.08156335415471597
ISFP,2.18546640140594,-0.36420094314306684,2.5444403337284784,1.3767988459575868,0.2729003664500594,0.8315540358048578,-0.8858167666130735,0.9290276343169204,0.4757681120539794,0.442382310382698,0.11874025222394893,-0.06931496614128606,-0.052709992967858124,0.08067251057105203
ESFP,1.8434962586710704,-1.7708779581466563,0.6469939359022834,3.0907489992836843,-0.028533065262507627,-0.25332618704483334,0.6727309717884697,-0.7547865522808008,-0.7334131000129347,-0.15229469639070695,-0.14754523810017706,0.013752400023852949,0.019503743344849542,0.014841367082557979
ISTP,2.7253811008366577,0.5945688855167995,-0.18639082105975452,-1.4937830404947603,-0.023118872815471463,-0.1569744119564963,1.2984726961969735,0.3809671781236985,0.13723830155920905,-0.32697254485340244,-0.21657372958391033,0.032901278742769755,-0.17469971937457826,0.09754277802869461
ESTP,0.611094206076098,-2.9027756330077317,-1.5690374558981153,-0.6655166975894827,0.5391511863216327,0.15151911932616535,1.1472772485579972,-0.42766684474140054,0.4196215490496218,0.6233914519075994,0.1661526343067675,-0.10688207432823521,-0.008674101523844123,-0.08392249848507144
ENTP,0.33096687500912914,1.3201446902811242,-0.7526018049997115,0.31921649323494306,0.2190309681094381,-1.2448326816828073,0.9685019733242883,0.4486384833668263,0.21225049199049414,0.2618539646113167,0.08572371442103116,0.23513870844784504,0.10524899363434347,0.021826365669183317
INTP,1.4020813347523244,2.285750097242684,-0.7636509455584308,-0.38234319950815965,1.6660626192104595,-0.636612672439463,-0.562155969400803,-0.6617005602910132,0.23140714391430703,-0.12059008672026612,-0.15600731174326762,-0.2705470548181955,0.0637182403600305,0.025790452344261302
